model,spread,overprediction,underprediction,score
Epiforecasts,7.872610722795162,5.999082645601284,21.403554398558093,35.27524776695454
KIT,12.673914282898812,3.307154119038234,15.161284419167748,31.142352821104794
KIT-frozen_baseline,0,0.12992707922743402,188.41845683878597,188.5483839180134
LMU,3.8080032970901234,6.962087050139849,27.93383090903411,38.70392125626408
MeanEnsemble,7.133556928881131,3.895686694070612,16.202390337293767,27.23163396024551
MedianEnsemble,6.424458021284982,3.94334562756912,18.27281941550763,28.640623064361733
RIVM,3.9388730098119265,7.576826538656457,21.530893138690242,33.04659268715862
RKI,2.085864209696492,13.035862098091108,23.17493946731235,38.29666577509995
SU,7.805898716847796,6.35394940593502,16.782693282279407,30.942541405062222
SZ,6.3367825522694,5.18286541473729,28.371765019585435,39.89141298659213
