model,spread,overprediction,underprediction,score
Epiforecasts,3.5498545227725016,5.277280487584351,5.34201663706148,14.169151647418332
KIT,6.22902189130092,2.62705346555474,3.9767476727228144,12.832823029578472
KIT-frozen_baseline,0,0.048358298463928945,73.0161784950047,73.06453679346863
LMU,2.016098702479143,5.042565520754457,7.224737345353589,14.283401568587191
MeanEnsemble,3.456283891795484,3.763790857563432,3.7028970974506557,10.92297184680957
MedianEnsemble,3.0713616883736417,3.6472877801640626,4.401142561182905,11.11979202972061
RIVM,2.0648538235299845,8.33467511580407,4.76236051426936,15.161889453603411
RKI,1.0448062922643468,9.382347157129422,7.205127506167453,17.632280955561225
SU,3.733328831464437,6.154040826896532,4.681708993483044,14.569078651844007
SZ,2.888250861092686,5.276254444481208,13.197424056975619,21.361929362549507
