model,spread,overprediction,underprediction,score
Epiforecasts,56.134095776176196,40.66469245339257,400.33183914510687,497.1306273746756
ILM,92.07156917885264,153.25579302587175,22.669741282339707,267.9971034870641
KIT,155.38881327334084,24.023959505061868,145.91259842519685,325.32537120359956
KIT-frozen_baseline,0,0,3011.9905511811025,3011.9905511811025
LMU,14.712191788526438,26.819606299212598,486.9658380202475,528.4976361079865
MeanEnsemble,66.95816085489314,18.46692913385827,175.30821147356582,260.73330146231723
MedianEnsemble,53.16675478065242,15.789201349831272,249.2312710911136,318.1872272215973
RIVM,30.086024746906645,23.815691788526433,265.8413048368954,319.7430213723284
RKI,24.23251968503937,120.45860517435321,256.0021372328459,400.69326209223846
SU,64.61289693475817,24.219718785151855,334.6119347581552,423.44455047806525
SZ,65.10877861080114,29.892862040635467,363.5060085342257,458.50764918566233
