date,location,age_group,frozen_value
2021-11-07,DE,00+,6182
2021-11-08,DE,00+,6254
2021-11-09,DE,00+,6676
2021-11-10,DE,00+,6930
2021-11-11,DE,00+,7030
2021-11-12,DE,00+,7261
2021-11-13,DE,00+,7431
2021-11-14,DE,00+,7553
2021-11-15,DE,00+,7695
2021-11-16,DE,00+,7900
2021-11-17,DE,00+,8232
2021-11-18,DE,00+,8411
2021-11-19,DE,00+,8638
2021-11-20,DE,00+,8861
2021-11-21,DE,00+,8870
2021-11-22,DE,00+,8944
2021-11-23,DE,00+,9127
2021-11-24,DE,00+,9282
2021-11-25,DE,00+,9420
2021-11-26,DE,00+,9485
2021-11-27,DE,00+,9481
2021-11-28,DE,00+,9526
2021-11-29,DE,00+,9428
2021-11-30,DE,00+,9343
2021-12-01,DE,00+,9192
2021-12-02,DE,00+,9217
2021-12-03,DE,00+,9233
2021-12-04,DE,00+,9270
2021-12-05,DE,00+,9297
2021-12-06,DE,00+,9340
2021-12-07,DE,00+,9438
2021-12-08,DE,00+,9542
2021-12-09,DE,00+,9420
2021-12-10,DE,00+,9283
2021-12-11,DE,00+,9035
2021-12-12,DE,00+,8885
2021-12-13,DE,00+,8642
2021-12-14,DE,00+,8342
2021-12-15,DE,00+,8166
2021-12-16,DE,00+,7878
2021-12-17,DE,00+,7649
2021-12-18,DE,00+,7415
2021-12-19,DE,00+,7151
2021-12-20,DE,00+,7060
2021-12-21,DE,00+,6863
2021-12-22,DE,00+,6529
2021-12-23,DE,00+,6270
2021-12-24,DE,00+,5976
2021-12-25,DE,00+,5418
2021-12-26,DE,00+,5038
2021-12-27,DE,00+,4938
2021-12-28,DE,00+,4824
2021-12-29,DE,00+,4716
2021-12-30,DE,00+,4699
2021-12-31,DE,00+,4746
2022-01-01,DE,00+,4787
2022-01-02,DE,00+,4783
2022-01-03,DE,00+,4773
2022-01-04,DE,00+,4825
2022-01-05,DE,00+,4759
2022-01-06,DE,00+,4695
2022-01-07,DE,00+,4477
2022-01-08,DE,00+,4687
2022-01-09,DE,00+,4794
2022-01-10,DE,00+,4726
2022-01-11,DE,00+,4627
2022-01-12,DE,00+,4425
2022-01-13,DE,00+,4341
2022-01-14,DE,00+,4429
2022-01-15,DE,00+,4476
2022-01-16,DE,00+,4484
2022-01-17,DE,00+,4513
2022-01-18,DE,00+,4626
2022-01-19,DE,00+,4891
2022-01-20,DE,00+,5137
2022-01-21,DE,00+,5342
2022-01-22,DE,00+,5596
2022-01-23,DE,00+,5680
2022-01-24,DE,00+,5842
2022-01-25,DE,00+,6120
2022-01-26,DE,00+,6397
2022-01-27,DE,00+,6549
2022-01-28,DE,00+,6688
2022-01-29,DE,00+,6778
2022-01-30,DE,00+,6919
2022-01-31,DE,00+,6909
2022-02-01,DE,00+,7026
2022-02-02,DE,00+,7300
2022-02-03,DE,00+,7658
2022-02-04,DE,00+,8103
2022-02-05,DE,00+,8435
2022-02-06,DE,00+,8512
2022-02-07,DE,00+,8560
2022-02-08,DE,00+,8844
2022-02-09,DE,00+,9080
2022-02-10,DE,00+,9120
2022-02-11,DE,00+,9036
2022-02-12,DE,00+,9005
2022-02-13,DE,00+,8911
2022-02-14,DE,00+,8844
2022-02-15,DE,00+,8825
2022-02-16,DE,00+,8822
2022-02-17,DE,00+,8852
2022-02-18,DE,00+,8924
2022-02-19,DE,00+,8937
2022-02-20,DE,00+,8974
2022-02-21,DE,00+,8997
2022-02-22,DE,00+,9074
2022-02-23,DE,00+,8994
2022-02-24,DE,00+,8958
2022-02-25,DE,00+,8859
2022-02-26,DE,00+,8793
2022-02-27,DE,00+,8761
2022-02-28,DE,00+,8624
2022-03-01,DE,00+,8436
2022-03-02,DE,00+,8343
2022-03-03,DE,00+,8313
2022-03-04,DE,00+,8371
2022-03-05,DE,00+,8415
2022-03-06,DE,00+,8349
2022-03-07,DE,00+,8383
2022-03-08,DE,00+,8518
2022-03-09,DE,00+,8833
2022-03-10,DE,00+,9009
2022-03-11,DE,00+,9252
2022-03-12,DE,00+,9475
2022-03-13,DE,00+,9577
2022-03-14,DE,00+,9633
2022-03-15,DE,00+,10068
2022-03-16,DE,00+,10229
2022-03-17,DE,00+,10417
2022-03-18,DE,00+,10538
2022-03-19,DE,00+,10649
2022-03-20,DE,00+,10515
2022-03-21,DE,00+,10436
2022-03-22,DE,00+,10343
2022-03-23,DE,00+,10440
2022-03-24,DE,00+,10432
2022-03-25,DE,00+,10398
2022-03-26,DE,00+,10418
2022-03-27,DE,00+,10399
2022-03-28,DE,00+,10369
2022-03-29,DE,00+,10389
2022-03-30,DE,00+,10299
2022-03-31,DE,00+,10113
2022-04-01,DE,00+,10000
2022-04-02,DE,00+,9597
2022-04-03,DE,00+,9411
2022-04-04,DE,00+,9231
2022-04-05,DE,00+,8916
2022-04-06,DE,00+,8634
2022-04-07,DE,00+,8528
2022-04-08,DE,00+,8305
2022-04-09,DE,00+,8301
2022-04-10,DE,00+,8212
2022-04-11,DE,00+,8216
2022-04-12,DE,00+,8227
2022-04-13,DE,00+,8131
2022-04-14,DE,00+,7865
2022-04-15,DE,00+,7818
2022-04-16,DE,00+,7074
2022-04-17,DE,00+,6927
2022-04-18,DE,00+,6780
2022-04-19,DE,00+,5692
2022-04-20,DE,00+,5994
2022-04-21,DE,00+,6156
2022-04-22,DE,00+,6114
2022-04-23,DE,00+,6727
2022-04-24,DE,00+,6702
2022-04-25,DE,00+,6709
2022-04-26,DE,00+,7639
2022-04-27,DE,00+,6926
2022-04-28,DE,00+,6479
2022-04-29,DE,00+,6152
2022-04-30,DE,00+,5923
2022-05-01,DE,00+,5799
2022-05-02,DE,00+,5678
2022-05-03,DE,00+,5386
2022-05-04,DE,00+,5304
2022-05-05,DE,00+,5189
2022-05-06,DE,00+,5164
2022-05-07,DE,00+,5050
2022-05-08,DE,00+,4981
2022-05-09,DE,00+,4887
2022-05-10,DE,00+,4934
2022-05-11,DE,00+,4807
2022-05-12,DE,00+,4648
2022-05-13,DE,00+,4479
2022-05-14,DE,00+,4371
2022-05-15,DE,00+,4307
2022-05-16,DE,00+,4279
2022-05-17,DE,00+,4056
2022-05-18,DE,00+,3890
2022-05-19,DE,00+,3799
2022-05-20,DE,00+,3643
2022-05-21,DE,00+,3491
2022-05-22,DE,00+,3454
2022-05-23,DE,00+,3435
2022-05-24,DE,00+,3184
2022-05-25,DE,00+,2982
2022-05-26,DE,00+,2800
2022-05-27,DE,00+,2412
2022-05-28,DE,00+,2454
2022-05-29,DE,00+,2388
2022-05-30,DE,00+,2365
2022-05-31,DE,00+,2317
2022-06-01,DE,00+,2314
2022-06-02,DE,00+,2377
2022-06-03,DE,00+,2708
2022-06-04,DE,00+,2710
2022-06-05,DE,00+,2750
2022-06-06,DE,00+,2758
2022-06-07,DE,00+,2313
2022-06-08,DE,00+,2881
2022-06-09,DE,00+,3178
2022-06-10,DE,00+,3398
2022-06-11,DE,00+,3536
2022-06-12,DE,00+,3560
2022-06-13,DE,00+,3614
2022-06-14,DE,00+,4523
2022-06-15,DE,00+,4271
2022-06-16,DE,00+,4292
2022-06-17,DE,00+,4006
2022-06-18,DE,00+,4330
2022-06-19,DE,00+,4400
2022-06-20,DE,00+,4453
2022-06-21,DE,00+,4954
2022-06-22,DE,00+,5270
2022-06-23,DE,00+,5506
2022-06-24,DE,00+,6174
2022-06-25,DE,00+,6241
2022-06-26,DE,00+,6247
2022-06-27,DE,00+,6277
2022-06-28,DE,00+,6421
2022-06-29,DE,00+,6582
2022-06-30,DE,00+,6775
2022-07-01,DE,00+,6810
2022-07-02,DE,00+,6858
2022-07-03,DE,00+,6868
2022-07-04,DE,00+,6888
2022-07-05,DE,00+,6920
2022-07-06,DE,00+,6985
2022-07-07,DE,00+,7140
2022-07-08,DE,00+,7305
2022-07-09,DE,00+,7453
2022-07-10,DE,00+,7476
2022-07-11,DE,00+,7526
2022-07-12,DE,00+,7957
2022-07-13,DE,00+,8188
2022-07-14,DE,00+,8442
2022-07-15,DE,00+,8751
2022-07-16,DE,00+,9073
2022-07-17,DE,00+,9104
2022-07-18,DE,00+,9074
2022-07-19,DE,00+,9137
2022-07-20,DE,00+,9384
2022-07-21,DE,00+,9496
2022-07-22,DE,00+,9802
2022-07-23,DE,00+,9762
2022-07-24,DE,00+,9760
2022-07-25,DE,00+,9799
2022-07-26,DE,00+,9949
2022-07-27,DE,00+,9882
2022-07-28,DE,00+,9639
2022-07-29,DE,00+,9197
2022-07-30,DE,00+,8865
2022-07-31,DE,00+,8780
2022-08-01,DE,00+,8653
2022-08-02,DE,00+,8102
2022-08-03,DE,00+,7798
2022-08-04,DE,00+,7563
2022-08-05,DE,00+,7367
2022-08-06,DE,00+,7289
2022-08-07,DE,00+,7247
2022-08-08,DE,00+,7213
2022-08-09,DE,00+,6874
2022-08-10,DE,00+,6568
2022-08-11,DE,00+,6403
2022-08-12,DE,00+,6237
2022-08-13,DE,00+,6167
2022-08-14,DE,00+,6111
2022-08-15,DE,00+,6083
2022-08-16,DE,00+,5911
2022-08-17,DE,00+,6076
2022-08-18,DE,00+,6072
2022-08-19,DE,00+,6081
2022-08-20,DE,00+,5941
2022-08-21,DE,00+,5937
2022-08-22,DE,00+,5881
2022-08-23,DE,00+,5785
2022-08-24,DE,00+,5420
2022-08-25,DE,00+,5250
2022-08-26,DE,00+,5029
2022-08-27,DE,00+,4863
2022-08-28,DE,00+,4829
2022-08-29,DE,00+,4802
2022-08-30,DE,00+,4600
2022-08-31,DE,00+,4434
2022-09-01,DE,00+,4273
2022-09-02,DE,00+,4124
2022-09-03,DE,00+,4034
2022-09-04,DE,00+,3994
2022-09-05,DE,00+,4004
2022-09-06,DE,00+,3899
2022-09-07,DE,00+,3867
2022-09-08,DE,00+,3915
2022-09-09,DE,00+,3964
2022-09-10,DE,00+,4011
2022-09-11,DE,00+,3995
2022-09-12,DE,00+,3960
2022-09-13,DE,00+,4067
2022-09-14,DE,00+,4096
2022-09-15,DE,00+,4131
2022-09-16,DE,00+,4264
2022-09-17,DE,00+,4317
2022-09-18,DE,00+,4346
2022-09-19,DE,00+,4375
2022-09-20,DE,00+,4588
2022-09-21,DE,00+,4847
2022-09-22,DE,00+,5216
2022-09-23,DE,00+,5589
2022-09-24,DE,00+,5972
2022-09-25,DE,00+,6119
2022-09-26,DE,00+,6252
2022-09-27,DE,00+,7209
2022-09-28,DE,00+,8086
2022-09-29,DE,00+,8671
2022-09-30,DE,00+,9267
2022-10-01,DE,00+,9791
2022-10-02,DE,00+,9860
2022-10-03,DE,00+,9980
2022-10-04,DE,00+,8311
2022-10-05,DE,00+,10537
2022-10-06,DE,00+,11844
2022-10-07,DE,00+,12830
2022-10-08,DE,00+,13499
2022-10-09,DE,00+,13629
2022-10-10,DE,00+,13693
2022-10-11,DE,00+,17314
2022-10-12,DE,00+,16212
2022-10-13,DE,00+,15999
2022-10-14,DE,00+,16039
2022-10-15,DE,00+,16281
2022-10-16,DE,00+,16278
2022-10-17,DE,00+,16263
2022-10-18,DE,00+,16280
2022-10-19,DE,00+,16413
2022-10-20,DE,00+,16005
2022-10-21,DE,00+,15694
2022-10-22,DE,00+,15285
2022-10-23,DE,00+,15143
2022-10-24,DE,00+,15045
2022-10-25,DE,00+,14079
2022-10-26,DE,00+,13134
2022-10-27,DE,00+,12563
2022-10-28,DE,00+,11998
2022-10-29,DE,00+,11451
2022-10-30,DE,00+,11290
2022-10-31,DE,00+,11151
2022-11-01,DE,00+,9444
2022-11-02,DE,00+,8616
2022-11-03,DE,00+,8709
2022-11-04,DE,00+,8501
2022-11-05,DE,00+,8338
2022-11-06,DE,00+,8318
2022-11-07,DE,00+,8214
2022-11-08,DE,00+,8559
2022-11-09,DE,00+,8500
2022-11-10,DE,00+,7803
2022-11-11,DE,00+,7372
2022-11-12,DE,00+,7185
2022-11-13,DE,00+,7076
2022-11-14,DE,00+,7070
2022-11-15,DE,00+,6798
2022-11-16,DE,00+,6706
2022-11-17,DE,00+,6569
2022-11-18,DE,00+,6640
2022-11-19,DE,00+,6621
2022-11-20,DE,00+,6631
2022-11-21,DE,00+,6581
2022-11-22,DE,00+,6768
2022-11-23,DE,00+,6873
2022-11-24,DE,00+,6953
2022-11-25,DE,00+,7027
2022-11-26,DE,00+,7198
2022-11-27,DE,00+,7237
2022-11-28,DE,00+,7309
2022-11-29,DE,00+,7692
2022-11-30,DE,00+,8002
2022-12-01,DE,00+,8370
2022-12-02,DE,00+,8609
2022-12-03,DE,00+,8731
2022-12-04,DE,00+,8736
2022-12-05,DE,00+,8815
2022-12-06,DE,00+,9050
2022-12-07,DE,00+,9335
2022-12-08,DE,00+,9564
2022-12-09,DE,00+,9758
2022-12-10,DE,00+,10098
2022-12-11,DE,00+,10218
2022-12-12,DE,00+,10214
2022-12-13,DE,00+,10606
2022-12-14,DE,00+,11008
2022-12-15,DE,00+,11253
2022-12-16,DE,00+,11536
2022-12-17,DE,00+,11672
2022-12-18,DE,00+,11685
2022-12-19,DE,00+,11723
2022-12-20,DE,00+,11944
2022-12-21,DE,00+,12388
2022-12-22,DE,00+,12777
2022-12-23,DE,00+,13040
2022-12-24,DE,00+,13180
2022-12-25,DE,00+,13074
2022-12-26,DE,00+,12940
2022-12-27,DE,00+,10084
2022-12-28,DE,00+,10480
2022-12-29,DE,00+,10388
2022-12-30,DE,00+,10211
2022-12-31,DE,00+,9835
