date,location,age_group,frozen_value
2021-11-07,DE,00+,6669
2021-11-08,DE,00+,6750
2021-11-09,DE,00+,7191
2021-11-10,DE,00+,7531
2021-11-11,DE,00+,7632
2021-11-12,DE,00+,7868
2021-11-13,DE,00+,8068
2021-11-14,DE,00+,8243
2021-11-15,DE,00+,8439
2021-11-16,DE,00+,8680
2021-11-17,DE,00+,9052
2021-11-18,DE,00+,9313
2021-11-19,DE,00+,9546
2021-11-20,DE,00+,9775
2021-11-21,DE,00+,9813
2021-11-22,DE,00+,9931
2021-11-23,DE,00+,10159
2021-11-24,DE,00+,10248
2021-11-25,DE,00+,10407
2021-11-26,DE,00+,10465
2021-11-27,DE,00+,10460
2021-11-28,DE,00+,10525
2021-11-29,DE,00+,10430
2021-11-30,DE,00+,10322
2021-12-01,DE,00+,10095
2021-12-02,DE,00+,10110
2021-12-03,DE,00+,10079
2021-12-04,DE,00+,10062
2021-12-05,DE,00+,10088
2021-12-06,DE,00+,10134
2021-12-07,DE,00+,10224
2021-12-08,DE,00+,10294
2021-12-09,DE,00+,10105
2021-12-10,DE,00+,9928
2021-12-11,DE,00+,9682
2021-12-12,DE,00+,9571
2021-12-13,DE,00+,9340
2021-12-14,DE,00+,8981
2021-12-15,DE,00+,8781
2021-12-16,DE,00+,8479
2021-12-17,DE,00+,8186
2021-12-18,DE,00+,7948
2021-12-19,DE,00+,7719
2021-12-20,DE,00+,7624
2021-12-21,DE,00+,7416
2021-12-22,DE,00+,7034
2021-12-23,DE,00+,6675
2021-12-24,DE,00+,6385
2021-12-25,DE,00+,5775
2021-12-26,DE,00+,5369
2021-12-27,DE,00+,5270
2021-12-28,DE,00+,5159
2021-12-29,DE,00+,5067
2021-12-30,DE,00+,5032
2021-12-31,DE,00+,5054
2022-01-01,DE,00+,5098
2022-01-02,DE,00+,5100
2022-01-03,DE,00+,5106
2022-01-04,DE,00+,5138
2022-01-05,DE,00+,5057
2022-01-06,DE,00+,4981
2022-01-07,DE,00+,4754
2022-01-08,DE,00+,4949
2022-01-09,DE,00+,5065
2022-01-10,DE,00+,5004
2022-01-11,DE,00+,4897
2022-01-12,DE,00+,4689
2022-01-13,DE,00+,4614
2022-01-14,DE,00+,4700
2022-01-15,DE,00+,4760
2022-01-16,DE,00+,4786
2022-01-17,DE,00+,4819
2022-01-18,DE,00+,4981
2022-01-19,DE,00+,5235
2022-01-20,DE,00+,5513
2022-01-21,DE,00+,5744
2022-01-22,DE,00+,6060
2022-01-23,DE,00+,6175
2022-01-24,DE,00+,6376
2022-01-25,DE,00+,6677
2022-01-26,DE,00+,6984
2022-01-27,DE,00+,7151
2022-01-28,DE,00+,7351
2022-01-29,DE,00+,7495
2022-01-30,DE,00+,7677
2022-01-31,DE,00+,7694
2022-02-01,DE,00+,7782
2022-02-02,DE,00+,8055
2022-02-03,DE,00+,8462
2022-02-04,DE,00+,8889
2022-02-05,DE,00+,9180
2022-02-06,DE,00+,9278
2022-02-07,DE,00+,9382
2022-02-08,DE,00+,9677
2022-02-09,DE,00+,9935
2022-02-10,DE,00+,9967
2022-02-11,DE,00+,9877
2022-02-12,DE,00+,9851
2022-02-13,DE,00+,9764
2022-02-14,DE,00+,9700
2022-02-15,DE,00+,9641
2022-02-16,DE,00+,9589
2022-02-17,DE,00+,9593
2022-02-18,DE,00+,9673
2022-02-19,DE,00+,9662
2022-02-20,DE,00+,9736
2022-02-21,DE,00+,9781
2022-02-22,DE,00+,9864
2022-02-23,DE,00+,9764
2022-02-24,DE,00+,9697
2022-02-25,DE,00+,9568
2022-02-26,DE,00+,9524
2022-02-27,DE,00+,9498
2022-02-28,DE,00+,9412
2022-03-01,DE,00+,9194
2022-03-02,DE,00+,9088
2022-03-03,DE,00+,9067
2022-03-04,DE,00+,9098
2022-03-05,DE,00+,9121
2022-03-06,DE,00+,9066
2022-03-07,DE,00+,9109
2022-03-08,DE,00+,9315
2022-03-09,DE,00+,9673
2022-03-10,DE,00+,9875
2022-03-11,DE,00+,10145
2022-03-12,DE,00+,10366
2022-03-13,DE,00+,10513
2022-03-14,DE,00+,10610
2022-03-15,DE,00+,11031
2022-03-16,DE,00+,11238
2022-03-17,DE,00+,11429
2022-03-18,DE,00+,11567
2022-03-19,DE,00+,11645
2022-03-20,DE,00+,11537
2022-03-21,DE,00+,11458
2022-03-22,DE,00+,11406
2022-03-23,DE,00+,11416
2022-03-24,DE,00+,11366
2022-03-25,DE,00+,11285
2022-03-26,DE,00+,11250
2022-03-27,DE,00+,11269
2022-03-28,DE,00+,11254
2022-03-29,DE,00+,11248
2022-03-30,DE,00+,11137
2022-03-31,DE,00+,10958
2022-04-01,DE,00+,10823
2022-04-02,DE,00+,10475
2022-04-03,DE,00+,10236
2022-04-04,DE,00+,10040
2022-04-05,DE,00+,9797
2022-04-06,DE,00+,9470
2022-04-07,DE,00+,9294
2022-04-08,DE,00+,9064
2022-04-09,DE,00+,9035
2022-04-10,DE,00+,8956
2022-04-11,DE,00+,8977
2022-04-12,DE,00+,8968
2022-04-13,DE,00+,8849
2022-04-14,DE,00+,8618
2022-04-15,DE,00+,8533
2022-04-16,DE,00+,7699
2022-04-17,DE,00+,7542
2022-04-18,DE,00+,7395
2022-04-19,DE,00+,6151
2022-04-20,DE,00+,6447
2022-04-21,DE,00+,6634
2022-04-22,DE,00+,6579
2022-04-23,DE,00+,7211
2022-04-24,DE,00+,7193
2022-04-25,DE,00+,7209
2022-04-26,DE,00+,8183
2022-04-27,DE,00+,7399
2022-04-28,DE,00+,6903
2022-04-29,DE,00+,6535
2022-04-30,DE,00+,6275
2022-05-01,DE,00+,6155
2022-05-02,DE,00+,6042
2022-05-03,DE,00+,5684
2022-05-04,DE,00+,5570
2022-05-05,DE,00+,5439
2022-05-06,DE,00+,5371
2022-05-07,DE,00+,5250
2022-05-08,DE,00+,5184
2022-05-09,DE,00+,5088
2022-05-10,DE,00+,5140
2022-05-11,DE,00+,5011
2022-05-12,DE,00+,4842
2022-05-13,DE,00+,4688
2022-05-14,DE,00+,4586
2022-05-15,DE,00+,4523
2022-05-16,DE,00+,4500
2022-05-17,DE,00+,4270
2022-05-18,DE,00+,4082
2022-05-19,DE,00+,3956
2022-05-20,DE,00+,3780
2022-05-21,DE,00+,3611
2022-05-22,DE,00+,3587
2022-05-23,DE,00+,3564
2022-05-24,DE,00+,3332
2022-05-25,DE,00+,3142
2022-05-26,DE,00+,2949
2022-05-27,DE,00+,2534
2022-05-28,DE,00+,2559
2022-05-29,DE,00+,2487
2022-05-30,DE,00+,2466
2022-05-31,DE,00+,2418
2022-06-01,DE,00+,2425
2022-06-02,DE,00+,2494
2022-06-03,DE,00+,2860
2022-06-04,DE,00+,2859
2022-06-05,DE,00+,2906
2022-06-06,DE,00+,2916
2022-06-07,DE,00+,2443
2022-06-08,DE,00+,3018
2022-06-09,DE,00+,3313
2022-06-10,DE,00+,3535
2022-06-11,DE,00+,3684
2022-06-12,DE,00+,3712
2022-06-13,DE,00+,3774
2022-06-14,DE,00+,4750
2022-06-15,DE,00+,4515
2022-06-16,DE,00+,4511
2022-06-17,DE,00+,4210
2022-06-18,DE,00+,4562
2022-06-19,DE,00+,4636
2022-06-20,DE,00+,4700
2022-06-21,DE,00+,5220
2022-06-22,DE,00+,5580
2022-06-23,DE,00+,5864
2022-06-24,DE,00+,6527
2022-06-25,DE,00+,6572
2022-06-26,DE,00+,6587
2022-06-27,DE,00+,6634
2022-06-28,DE,00+,6782
2022-06-29,DE,00+,6922
2022-06-30,DE,00+,7104
2022-07-01,DE,00+,7159
2022-07-02,DE,00+,7231
2022-07-03,DE,00+,7246
2022-07-04,DE,00+,7270
2022-07-05,DE,00+,7315
2022-07-06,DE,00+,7383
2022-07-07,DE,00+,7519
2022-07-08,DE,00+,7686
2022-07-09,DE,00+,7811
2022-07-10,DE,00+,7849
2022-07-11,DE,00+,7903
2022-07-12,DE,00+,8351
2022-07-13,DE,00+,8578
2022-07-14,DE,00+,8840
2022-07-15,DE,00+,9136
2022-07-16,DE,00+,9481
2022-07-17,DE,00+,9523
2022-07-18,DE,00+,9504
2022-07-19,DE,00+,9587
2022-07-20,DE,00+,9879
2022-07-21,DE,00+,10005
2022-07-22,DE,00+,10310
2022-07-23,DE,00+,10287
2022-07-24,DE,00+,10293
2022-07-25,DE,00+,10343
2022-07-26,DE,00+,10527
2022-07-27,DE,00+,10418
2022-07-28,DE,00+,10155
2022-07-29,DE,00+,9677
2022-07-30,DE,00+,9326
2022-07-31,DE,00+,9242
2022-08-01,DE,00+,9117
2022-08-02,DE,00+,8546
2022-08-03,DE,00+,8252
2022-08-04,DE,00+,8003
2022-08-05,DE,00+,7802
2022-08-06,DE,00+,7745
2022-08-07,DE,00+,7701
2022-08-08,DE,00+,7681
2022-08-09,DE,00+,7284
2022-08-10,DE,00+,6908
2022-08-11,DE,00+,6703
2022-08-12,DE,00+,6495
2022-08-13,DE,00+,6401
2022-08-14,DE,00+,6351
2022-08-15,DE,00+,6329
2022-08-16,DE,00+,6145
2022-08-17,DE,00+,6326
2022-08-18,DE,00+,6317
2022-08-19,DE,00+,6315
2022-08-20,DE,00+,6165
2022-08-21,DE,00+,6167
2022-08-22,DE,00+,6112
2022-08-23,DE,00+,6017
2022-08-24,DE,00+,5617
2022-08-25,DE,00+,5421
2022-08-26,DE,00+,5174
2022-08-27,DE,00+,5022
2022-08-28,DE,00+,4996
2022-08-29,DE,00+,4976
2022-08-30,DE,00+,4763
2022-08-31,DE,00+,4597
2022-09-01,DE,00+,4429
2022-09-02,DE,00+,4278
2022-09-03,DE,00+,4186
2022-09-04,DE,00+,4151
2022-09-05,DE,00+,4166
2022-09-06,DE,00+,4062
2022-09-07,DE,00+,4034
2022-09-08,DE,00+,4108
2022-09-09,DE,00+,4155
2022-09-10,DE,00+,4196
2022-09-11,DE,00+,4175
2022-09-12,DE,00+,4147
2022-09-13,DE,00+,4254
2022-09-14,DE,00+,4285
2022-09-15,DE,00+,4291
2022-09-16,DE,00+,4419
2022-09-17,DE,00+,4476
2022-09-18,DE,00+,4515
2022-09-19,DE,00+,4543
2022-09-20,DE,00+,4815
2022-09-21,DE,00+,5095
2022-09-22,DE,00+,5511
2022-09-23,DE,00+,5852
2022-09-24,DE,00+,6246
2022-09-25,DE,00+,6402
2022-09-26,DE,00+,6550
2022-09-27,DE,00+,7535
2022-09-28,DE,00+,8495
2022-09-29,DE,00+,9140
2022-09-30,DE,00+,9815
2022-10-01,DE,00+,10395
2022-10-02,DE,00+,10485
2022-10-03,DE,00+,10622
2022-10-04,DE,00+,8871
2022-10-05,DE,00+,11186
2022-10-06,DE,00+,12627
2022-10-07,DE,00+,13619
2022-10-08,DE,00+,14285
2022-10-09,DE,00+,14448
2022-10-10,DE,00+,14553
2022-10-11,DE,00+,18323
2022-10-12,DE,00+,17214
2022-10-13,DE,00+,17006
2022-10-14,DE,00+,17026
2022-10-15,DE,00+,17238
2022-10-16,DE,00+,17252
2022-10-17,DE,00+,17252
2022-10-18,DE,00+,17432
2022-10-19,DE,00+,17624
2022-10-20,DE,00+,17083
2022-10-21,DE,00+,16675
2022-10-22,DE,00+,16211
2022-10-23,DE,00+,16072
2022-10-24,DE,00+,15976
2022-10-25,DE,00+,14891
2022-10-26,DE,00+,13824
2022-10-27,DE,00+,13207
2022-10-28,DE,00+,12575
2022-10-29,DE,00+,11947
2022-10-30,DE,00+,11782
2022-10-31,DE,00+,11650
2022-11-01,DE,00+,9837
2022-11-02,DE,00+,8919
2022-11-03,DE,00+,9005
2022-11-04,DE,00+,8779
2022-11-05,DE,00+,8606
2022-11-06,DE,00+,8594
2022-11-07,DE,00+,8487
2022-11-08,DE,00+,8859
2022-11-09,DE,00+,8797
2022-11-10,DE,00+,8062
2022-11-11,DE,00+,7638
2022-11-12,DE,00+,7454
2022-11-13,DE,00+,7343
2022-11-14,DE,00+,7341
2022-11-15,DE,00+,7064
2022-11-16,DE,00+,6969
2022-11-17,DE,00+,6829
2022-11-18,DE,00+,6898
2022-11-19,DE,00+,6872
2022-11-20,DE,00+,6891
2022-11-21,DE,00+,6849
2022-11-22,DE,00+,7029
2022-11-23,DE,00+,7125
2022-11-24,DE,00+,7211
2022-11-25,DE,00+,7281
2022-11-26,DE,00+,7454
2022-11-27,DE,00+,7498
2022-11-28,DE,00+,7573
2022-11-29,DE,00+,7981
2022-11-30,DE,00+,8314
2022-12-01,DE,00+,8656
2022-12-02,DE,00+,8920
2022-12-03,DE,00+,9045
2022-12-04,DE,00+,9051
2022-12-05,DE,00+,9142
2022-12-06,DE,00+,9396
2022-12-07,DE,00+,9688
2022-12-08,DE,00+,9906
2022-12-09,DE,00+,10108
2022-12-10,DE,00+,10464
2022-12-11,DE,00+,10597
2022-12-12,DE,00+,10618
2022-12-13,DE,00+,11154
2022-12-14,DE,00+,11616
2022-12-15,DE,00+,11877
2022-12-16,DE,00+,12128
2022-12-17,DE,00+,12245
2022-12-18,DE,00+,12286
2022-12-19,DE,00+,12338
2022-12-20,DE,00+,12592
2022-12-21,DE,00+,13034
2022-12-22,DE,00+,13384
2022-12-23,DE,00+,13637
2022-12-24,DE,00+,13809
2022-12-25,DE,00+,13710
2022-12-26,DE,00+,13599
2022-12-27,DE,00+,10552
2022-12-28,DE,00+,10924
2022-12-29,DE,00+,10849
2022-12-30,DE,00+,10635
2022-12-31,DE,00+,10170
2023-01-01,DE,00+,10133
